SMILES,Reward,Step,Sim,Imp
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(CC(C)=S)=C1CCCCCC1,-15.86177081354448,187,0.6095238095238096,3.2400208055612563
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(CC(C)=O)=C1CCCCCC1,-16.27206586926518,195,0.6407766990291263,2.8297257498405557
CCCCC(C=C1CCCCCC1)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-16.340869558683146,67,0.6060606060606061,2.7609220604225904
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)c1ccccc1,-16.355856145453963,26,0.6451612903225806,2.745935473651773
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(N=N)=C1CCCCCC1,-16.356234820626963,129,0.64,2.7455567984787734
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(C=S)=C1CCCCCC1,-16.365079517099566,119,0.64,2.7367121020061695
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(CC1=[SH]C1)=C1CCCCCC1,-16.742873868215202,198,0.6037735849056604,2.3589177508905337
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(NN=N)=C1CCCCCC1,-16.824337229664938,163,0.6213592233009708,2.2774543894407984
CCCCC(C=C1CCCC(C(C)=O)CC1)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-16.871739924652765,186,0.6116504854368932,2.230051694452971
CCCCC(C=C1CCCCCC1C(C)=O)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-16.89734984255685,106,0.6116504854368932,2.2044417765488866
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=C1CCCCCC1)N1C=[SH]1,-17.108232666963264,187,0.6213592233009708,1.9935589521424717
CCCCC(C=C1CCCCCC1C(=O)O)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-17.20017891129721,141,0.6116504854368932,1.9016127078085248
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(NC=O)=C1CCCCCC1,-17.229919088719395,157,0.6372549019607843,1.8718725303863408
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)N1CCCCC1,-17.441498865890466,16,0.717391304347826,1.6602927532152698
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C1=CC1,-17.59702246648177,188,0.7228915662650602,1.5047691526239646
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C1=CC1,-17.59702246648177,67,0.7228915662650602,1.5047691526239646
CCCCC(C=C1CCCC(C(N)=O)CC1)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-17.60402802071258,169,0.6116504854368932,1.4977635983931563
CCCCC(C=C1CCCCC(C(N)=O)C1)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-17.658092820089642,139,0.6116504854368932,1.4436987990160937
CCCCC(CC(C)=O)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-17.6865536899757,90,0.7682926829268293,1.4152379291300363
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(C)=O,-17.790371579309912,47,0.868421052631579,1.3114200397958236
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)C1=CC1,-17.904680233509552,16,0.8048780487804879,1.197111385596184
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)N=C(C)C,-17.92092987864383,91,0.7857142857142857,1.180861740461907
CCCCC(CC(=O)O)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-17.921437614649488,196,0.7682926829268293,1.1803540044562482
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)N1CCC=C1C,-17.926413690171238,68,0.7252747252747253,1.1753779289344983
CCCCC(CN=N)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-17.98384430048889,164,0.7228915662650602,1.1179473186168458
Cc1cc(=O)n2c3c(cc(S(=O)(=O)NC(CCCCC4CCCCC4)C(=O)[O-])cc13)CC2,-18.07700829012183,57,0.6947368421052632,1.0247833289839043
CCCCC(N=N)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-18.09883408638746,102,0.75,1.002957532718277
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)C1=NCCC1,-18.15258918116571,24,0.7415730337078652,0.949202437940027
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)C=C1C=CC=N1,-18.1551910237745,68,0.717391304347826,0.9466005953312369
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)c(C1CCCCC1)c(=O)n3CC2)C(=O)[O-],-18.15634614411262,53,0.6326530612244898,0.9454454749931145
Cc1cc(=O)n2c3c(cc(S(=O)(=O)NC(CCCCCCC(C)C)C(=O)[O-])cc13)CC2,-18.164379132137018,74,0.7528089887640449,0.9374124869687179
CCCCC(N=O)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-18.164456784650984,47,0.7721518987341772,0.9373348344547523
CCCCC(NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2)C(=O)C1CCCO1,-18.195575299339126,48,0.7415730337078652,0.9062163197666102
CCCCC(N=S)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-18.34308837668362,102,0.75,0.758703242422115
CCCCC(N=S(=N)=N)NS(=O)(=O)c1cc2c3c(c1)c(C)cc(=O)n3CC2,-18.353195114258803,199,0.7058823529411765,0.7485965048469332
