SMILES,QED
Cc1ccc(-c2ccc(C(=O)OCc3nncn3C3CC3)c(F)c2)cc1,0.6499588221159157
O=C(NNC(=O)c1ccc2ccccc2n1)N[C@H]1CC[NH+](C2CCCC2)C1,0.6039944122308015
C[C@H](C(=O)[O-])N1C(=O)C[C@]2(CSc3[nH]c(=O)sc3[C@@H]2c2ccccc2O)C1=O,0.6826565082811912
O=C([O-])COC[C@@H]1COc2ccccc2O1,0.6939239067754456
Cc1cc(C)cc(OCC(=O)N/N=C/c2cccc(Br)c2)c1,0.6536520943493247
O=C(C[C@@H]1C(=O)NCC[NH+]1Cc1cccc(F)c1F)NCC1CCCCC1,0.6877970928838657
Cc1n[nH]c(C)c1C(=O)C1=C([O-])C(=O)N(CCCN2CCOCC2)[C@@H]1c1ccccn1,0.6447622256721579
COc1ccccc1COC(=O)CN1C(=O)N[C@]2(CCCC[C@@H]2C)C1=O,0.6429275116341286
COc1cc(/C=C(\C#N)C(=O)NC2CCCCC2)cc(Cl)c1OC,0.6499971978470171
CC(C)(C)[C@H]1CCC[NH+]([C@H](C[NH3+])CC(=O)NC2CC2)CC1,0.6569896832117473
Cc1nn(CC(=O)N(c2ccccc2)C(C)C)c(C)c1[N+](=O)[O-],0.6271697199587623
CSc1nc(C)c(CCC(=O)N[C@@H](C)c2ccccc2C)c(C)n1,0.6375900511923424
O=C(NC[C@@H]1CC[NH+](Cc2nc3ccccc3[nH]2)C1)c1ccncn1,0.6200526473452644
CN(CCC(N)=S)C(=O)CC[NH+]1CCSCC1,0.6202364511923311
CC[C@H](C)[C@@H](C(=O)[O-])[NH+]1CC(C)(C)C1,0.6359727983929194
C[C@H]1CC[C@@H](C)N(C(=O)NCCOCC(=O)[O-])C1,0.6783600773093474
N#Cc1ccnc(SCC(=O)c2cnc(N3CCCCC3)s2)c1,0.6116423327895731
C1C[NH2+]C[C@H](CN2CCCC2)OC1,0.6243475860168801
Cc1ccc([C@H](c2ccccc2)N2CCN(C(=O)c3ccccc3F)CC2)cc1,0.6478245711520753
CCOC(=O)CCC(=O)N(C)CC(C)(C)O,0.6781935343286166
