SMILES,PLogP,QED,SA
COc1ccc2c(c1)N/C(=C(/C(=O)C(=O)c1ccccc1)C(=O)c1ccccc1)C(C)=[N+]2[O-],0.046812352024367086,0.1166431050742342,2.9846559337355885
O=C(CCCC[C@H]1SC[C@@H]2NC(=O)N[C@@H]21)N/N=C/c1c(F)c(F)c(F)c(F)c1F,-0.030337296091365942,0.11690072556898888,3.9860768325907117
Cc1ccc(/C=C2\Oc3cc(OC(=O)COc4c(F)c(F)c(F)c(F)c4F)cc(C)c3C2=O)o1,0.06299152887998831,0.1249729116462402,2.9985944919267404
O=C(COc1c(F)c(F)c(F)c(F)c1F)Oc1ccc2c(c1)O/C(=C\c1cccs1)C2=O,0.06957934772361384,0.13111504074291153,2.8416853379015534
C[N+]1(/N=C(\[S-])NN)CCOCC1,-0.37565690675222,0.13533803975945805,4.79399890406518
O=C(CSc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1)N/N=C/c1cccc([N+](=O)[O-])c1,0.06694117111315333,0.13543477817892802,2.303888150313579
N/[NH+]=C(/[S-])N[C@H]1CCS(=O)(=O)C1,-0.5039723572671034,0.1378874412685804,4.843075882327196
Cn1c(=O)c2c(SCC(=O)c3ccccc3)nc(-c3ccc([N+](=O)[O-])cc3)nc2n(C)c1=O,0.03046662332130292,0.14020948415191672,2.4260139550971167
Cc1ccc(-n2c(SCC(=O)N/N=C\c3ccc([N+](=O)[O-])cc3)nc3ccccc3c2=O)cc1,0.06107960860555722,0.14316462880065806,2.2695268497584653
CCN(CC)c1ccc2nc3ccc(/N=N/c4ccc(N(C)C)cc4)cc3[n+](-c3ccccc3)c2c1,0.09468367197439016,0.14473290079096546,2.9884911331319426
CC(=O)C(C(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])=C(C)[O-],-0.03752184526691519,0.1490965087599992,2.951266697355246
CC[N+]1(CC)c2cc(/N=C/c3ccccc3)c(/C=C/c3ccccc3)cc2C[C@H]1c1ccccc1,0.10126298067992394,0.1504477325930502,3.6075726228797103
O=C(CSc1n[nH]c(N/N=C/c2cccc(O)c2)n1)Nc1cccc2c1C(=O)c1ccccc1C2=O,0.03659509940107649,0.1513862555418746,2.6802877307650785
C=CCN/C(S)=C(\C(=O)c1ccc(C)c([N+](=O)[O-])c1)[n+]1ccccc1,0.023396610550591945,0.15211295794675986,2.966941537179986
Nn1c(N/N=C/c2ccc(Cl)cc2Cl)nnc1SCC(=O)Nc1nc2ccccc2s1,0.06040491340758111,0.1534175762072015,2.5794425108625525
N/C(CCCSc1ccccc1[N+](=O)[O-])=N\O,0.04610063465631136,0.1542401008237695,2.399324192315188
CC(=O)c1c(OC(=O)COc2ccc([N+](=O)[O-])cc2)ccc2c(C)cc(=O)oc12,0.0504333043642589,0.1549742958488034,2.4047993445981497
O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,-0.049350445618497184,0.1556104302086095,2.7039326892580817
CCOC(=O)/C(=N\Nc1ccc(Cl)cc1)C(=O)c1nn2c(nc(=O)c3ccccc32)s1,0.02996508769705083,0.1559630572929306,2.8350082490569424
Cc1cccc(NC(=O)CSc2nnc(N/N=C/c3c[nH]c4ccccc34)n2N)c1,0.03765483481234755,0.15759542623015846,2.543871910722276
O=C(COC(=O)c1ccccc1N1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2[C@@H]2C[C@H]12)c1ccc([N+](=O)[O-])cc1,-0.032270387053803334,0.1579126838143768,4.562624694658671
CC[C@@H](C)N1C(=O)/C(=C\c2ccc(OC(=O)c3cccc([N+](=O)[O-])c3)cc2)SC1=S,0.06928834570092604,0.15827878925270789,2.8310045364657057
Cc1cc(=O)oc2ccc(OC(=O)CN3C(=O)c4cccc([N+](=O)[O-])c4C3=O)cc12,0.022940478640521667,0.15997881265171415,2.4775974803748912
CC(C)NC(=O)c1cc2ccc(OC(=O)/C=C/c3cccc([N+](=O)[O-])c3)cc2oc1=O,0.051815782849213225,0.16080244872413166,2.437013363709731
COc1cccc(N/C([S-])=C(\C(=O)c2ccc([N+](=O)[O-])cc2)[n+]2ccccc2)c1,0.04043052337046895,0.1609828259254973,2.8571172667369846
CC(=O)c1c(OC(=O)c2cc([N+](=O)[O-])ccc2Cl)ccc2c(C)cc(=O)oc12,0.07271184778524997,0.1612713765022426,2.44304155275983
CC1=C[C@H]2C[C@@H]1[C@@H]1C(=O)N(c3ccc(C(=O)OCC(=O)c4ccc([N+](=O)[O-])cc4)cc3)C(=O)[C@@H]12,-0.018665965221839,0.16169821149528352,4.233921378241005
Cc1ccc(C(=O)COC(=O)c2cccc(N3C(=O)[C@H]4[C@@H]5C=C[C@@H](C5)[C@@H]4C3=O)c2)cc1[N+](=O)[O-],-0.019848175044673302,0.16182658592831656,4.219958625204566
N/C(=[NH+]\NC(=O)c1ccncc1)c1cc2c(ccc3ccccc32)oc1=O,-0.04014144729140424,0.16185327554777382,2.9439792162758924
O=[N+]([O-])c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)[n+]2Cc2ccccc2)cc1,0.12203019352246194,0.16223051820501322,2.3360661693460933
O=C(/C=C/c1cn(Cc2ccccc2)nc1-c1cccnc1)c1ccc(Cl)c([N+](=O)[O-])c1,0.09493672535501664,0.1634322626668357,2.401796023332391
COc1cc(/C=C(\C#N)C(=O)N2CCOCC2)ccc1OC(=O)c1cccc([N+](=O)[O-])c1C,0.03264688898783874,0.16353277663751156,2.551654256100459
Cc1ccc(C(=O)COC(=O)c2ccccc2N2C(=O)[C@H]3CC=CC[C@@H]3C2=O)cc1[N+](=O)[O-],0.019818601262240384,0.16563242188312485,3.1960731505952453
