Unnamed: 0,SMILES,Reward,Sim,Step,Imp,SA
0,CC[NH+]1CCSCC1N(C)C(C)(CC)c1nc(C)c2cc1-2,0.9112664274793296,0.15384615384615385,1639,0.2910299762869988,5.350216871024202
1,CCC(C)N(C)C1(c2cocc2C)CSCC[NH+]1CC,0.8992081530177103,0.1590909090909091,1601,0.2789717018253793,5.404586552614771
2,CCC(C)N(C)C1CSC(c2nnc3cc2-3)C[NH+]1CC,0.8981885233315814,0.09574468085106384,1615,0.27795207213925044,5.402392944252298
3,CCC(C)N(C)C1CSCC(c2coc(C)n2)[NH+]1CC,0.8975412970510184,0.10869565217391304,1649,0.2773048458586874,5.421887969227323
4,CCC(C)N(C)C1CSCC(c2cncnc2C)[NH+]1CC,0.8943085750185699,0.10526315789473684,1638,0.2740721238262389,5.188934979221034
5,CC(=O)N(C)C(CN1CC(C)=CO1)c1c[nH]c(C)n1,0.8923663452708478,0.08791208791208792,1594,0.27212989407851684,4.568197576574052
6,CCC(C)N(C)C1CSCC(n2ccnc2C)[NH+]1CC,0.8893667706425705,0.10869565217391304,1674,0.2691303194502396,5.213702234961589
7,CC(=O)N(C)CCN1CC(C)=C(c2c[nH]c(C)n2)O1,0.8866199164220785,0.125,1561,0.26638346522974754,3.886376754175405
8,CN(C)C(=O)CC[NH+]1CCSCC1c1ccccc1,0.8832078617930604,0.2625,907,0.2629714106007295,4.364183501341486
9,CN(C)C(=O)CC(c1ccccc1)[NH+]1CCSCC1,0.8832078617930604,0.27848101265822783,915,0.2629714106007295,4.135585347777209
10,CN(C)C(=O)CC[NH+]1CCSC(c2ccccc2)C1,0.8832078617930603,0.27848101265822783,916,0.26297141060072937,4.357288629546614
11,CCN(C)C(=O)CC(c1ccccc1)[NH+]1CCSCC1,0.8830247577510733,0.3,108,0.2627883065587423,4.12733546550108
12,CC(N1CCC(=Cc2ncon2)CC1)[NH+]1CCSCC1,0.8811278519655059,0.16483516483516486,1314,0.2608914007731751,5.017309870222141
13,CN(C=Cc1ccccc1)C(=O)CC[NH+]1CCSCC1,0.8797497248085556,0.4189189189189189,1802,0.2595132736162247,4.0081107556036395
14,CCN(C)C(=O)CC[NH+]1CCSC(c2ncc3cc2-3)C1,0.8769973320240838,0.3164556962025317,119,0.2567608808317529,4.881001095448622
15,CCN(C)C(=O)CC(c1ncc2cc1-2)[NH+]1CCSCC1,0.8769973320240838,0.3,108,0.2567608808317529,4.611608339995007
16,CCC(C)N(C)C1CSCC[NH+]1C(C)n1ccnc1,0.8757650468227328,0.14942528735632185,1605,0.2555285956304021,5.2746735939404275
17,CCC(C)N(C)C1CSCC(n2ccnc2)[NH+]1CC,0.8757650468227328,0.1111111111111111,1617,0.2555285956304021,5.314221344303272
18,C=c1[nH]cc(C2C(C)=CON2CCN(C)C(C)=O)c1=C,0.8706153289261077,0.10989010989010987,1523,0.2503788777337768,4.405562456054386
19,C=CN(C)C(=O)CC[NH+]1CCSC(c2ccncc2)C1,0.8699866401932513,0.2682926829268293,1828,0.2497501890009204,4.983496642007327
20,C=CN(C)C(=O)CC(c1ccncc1)[NH+]1CCSCC1,0.8699866401932513,0.2682926829268293,1820,0.2497501890009204,4.767537894650877
21,CC(=O)N(C)C(CN1CC(C)=CO1)n1cnccc1=N,0.8689162669882798,0.0851063829787234,1553,0.2486798157959489,4.47354474043667
22,Cc1nc(C(CC(=O)N(C)C)[NH+]2CCSCC2)c2cc1N2,0.8683557413660812,0.26506024096385544,966,0.24811929017375026,5.4964297018652255
23,CC(=O)N(C)CC(c1c[nH]cn1)N1CC(C)=CO1,0.8682959230910132,0.10227272727272728,1506,0.2480594718986823,4.527025881526658
24,CCC(C)N(Cc1conc1C)C1CSCC[NH+]1CC,0.8640883223910352,0.15730337078651685,1655,0.24385187119870425,5.243890069098286
25,C=C1CCN(C(C)[NH+]2CCSCC2)C(c2ccncc2)C1,0.8595631075817606,0.16129032258064516,1329,0.23932665638942965,4.833085155970869
26,C=C1CCN(C(C)[NH+]2CCSC(Oc3ccoc3C)C2)CC1,0.8577274953522847,0.0891089108910891,1347,0.2374910441599537,5.29435367484965
27,CC1=NCCC1=CC=C1CCN(C(C)[NH+]2CCSCC2)CC1,0.8551886566875411,0.15625,1337,0.2349522054952101,4.9754992646445775
28,CC(=O)N(C)CCN1OC=C(C)C1C1=C(O)SCC1,0.8541524004766994,0.16470588235294115,1537,0.2339159492843685,4.346083967106598
29,C=CN(C)C(=O)CC[NH+]1CCSCC1c1c2c(C)nn1-2,0.8537982006876916,0.25609756097560976,1869,0.2335617494953607,5.4192746206076725
30,C=C1CCN(C(C)[NH+]2CCSCC2n2cncc2C)CC1,0.8529834903336658,0.11458333333333333,1350,0.2327470391413349,5.221208993040118
31,CC(=O)N(C)CC(OC1=NC(=N)CCC1)N1CC(C)=CO1,0.8523524263224199,0.12903225806451613,1545,0.2321159751300889,4.757108760317045
