SMILES,Reward,Sim,Step,Imp,SA
O=S(=O)=NC1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.9193938980711428,0.4150943396226415,962,0.22294259518113532,4.180390461310829
Cc1ncccc1C1Nc2ccccc2C2C=C(N3C=N3)CC21,0.9169214571784956,0.28205128205128205,1362,0.22047015428848826,4.20688827991014
C1=C(C2=NC2)CC2(OC3CC3)C1c1ccccc1NC2c1cccnc1,0.9114261750628732,0.2926829268292683,1118,0.21497487217286584,4.3445323924359815
S=NC1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.9101438977179752,0.4077669902912621,911,0.213692594827968,4.059320233734907
C1=C(NC2=CO2)CC2C1c1ccccc1NC2c1cccnc1,0.9083896038908494,0.3853211009174312,564,0.2119383010008421,4.167133923862325
S=S=NC1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.9077873441845618,0.3962264150943397,946,0.2113360412945544,4.240876954646776
CC1=C(OC2=CC3c4ccccc4NC(c4cccnc4)C3C2)O1,0.906658665999373,0.3783783783783784,593,0.2102073631093656,4.1315141106639
C1=NCCCN1C1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.9056103518206116,0.3620689655172414,902,0.20915904893060436,4.205683224169206
CC(=O)C1=CC2c3ccccc3NC(c3cccnc3C)C2C1,0.9048731383973392,0.2844827586206897,1301,0.2084218355073316,3.7958647959314327
C1=NC2=CC2=NN1C1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.9044902919226668,0.35294117647058826,578,0.2080389890326595,4.45660308692368
CC(=O)C1=CC2c3ccccc3NC(c3cccnc3)C2(OC2CC2)C1,0.9026754400090764,0.3057851239669421,1110,0.2062241371190692,4.175629477456225
CC(=O)N(C)C1=CC2c3ccccc3NC(c3cccnc3C)C2C1,0.902576858547626,0.2833333333333333,1392,0.2061255556576188,3.9716183747650904
C1=NCC=C1C1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.8978075417620839,0.3716814159292036,503,0.20135623887207652,4.223012022751812
CC1=C(NC2=CC3c4ccccc4NC(c4cccnc4)C3C2)O1,0.8966465096808296,0.3783783783783784,593,0.20019520679082226,4.101711253521044
CC1=C(NC2=CC3c4ccccc4NC(c4cccnc4)C3C2)O1,0.8966465096808296,0.3783783783783784,593,0.20019520679082226,4.101711253521044
CC(=O)NC1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.8941508413876423,0.4018691588785047,991,0.19769953849763502,3.7346331708401053
CC(=O)NC1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.8941508413876423,0.4018691588785047,577,0.19769953849763502,3.7346331708401053
CC(=O)NC1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.8941508413876423,0.4018691588785047,977,0.19769953849763502,3.721958773595559
CC(=O)NC1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.8941508413876423,0.4018691588785047,991,0.19769953849763502,3.7346331708401053
CC(=O)NC1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.8941508413876423,0.4018691588785047,563,0.19769953849763502,3.721958773595559
CC(=O)NC1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.8941508413876423,0.4018691588785047,563,0.19769953849763502,3.721958773595559
CCCN(C)C1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.8939797772871997,0.4166666666666667,902,0.19752847439719234,3.8446811436309334
C1=CN(C2=CCC3C(c4cccnc4)Nc4ccccc4C23)C=NOC1,0.8936998824145936,0.3644067796610169,502,0.1972485795245863,4.506135039586401
NC(=O)C1=CCC2C(c3cccnc3)Nc3ccccc3C12,0.8936676796474519,0.4134615384615384,539,0.19721637675744447,3.6192494509485513
NC(=O)C1=CC2c3ccccc3NC(c3cccnc3)C2(OC2CC2)C1,0.891006066183256,0.3057851239669421,1135,0.1945547632932486,4.1935907082254555
NC(=O)C1=CCC2(OC3CC3)C(c3cccnc3)Nc3ccccc3C12,0.8910060661832558,0.3057851239669421,1128,0.1945547632932485,4.179177785148532
O=S1CCN=CN1C1=CC2c3ccccc3NC(c3cccnc3)C2C1,0.8899429298991903,0.3675213675213676,917,0.19349162700918301,4.758005139823024
C1=C(N=C2CCN2)CC2C1c1ccccc1NC2c1cccnc1,0.8893337664734637,0.375,947,0.1928824635834564,4.242783474539461
C1=C(C2=CC3=CN3C2)CC2C1c1ccccc1NC2c1cccnc1,0.8881275050186458,0.3620689655172414,564,0.19167620212863845,4.3229878395538215
CC(=O)NC1=CC2c3ccccc3NC(c3cccnc3C)C2C1,0.8876039845097412,0.2773109243697479,1347,0.19115268161973387,3.8388175411464625
CC(=O)NC1=CC2c3ccccc3NC(c3cccnc3C)C2C1,0.8876039845097412,0.2773109243697479,1347,0.19115268161973387,3.8388175411464625
NC(=O)CN1c2ccccc2C2C=CCC2C1c1cccnc1,0.8871096560399565,0.3888888888888889,568,0.1906583531499492,3.521131678302793
NC(=O)CN1c2ccccc2C2C=CCC2C1c1cccnc1,0.8871096560399565,0.3888888888888889,973,0.1906583531499492,3.521131678302793
CC1=NCN(C2=CCC3C(c4cccnc4)Nc4ccccc4C23)N1,0.8851109924211291,0.3652173913043478,992,0.18865968953112175,4.214550725208706
Cc1ncccc1C1Nc2ccccc2C2C(OC(N)=O)=CCC12,0.8850448634561452,0.2773109243697479,1377,0.18859356056613785,3.8891372735879326
C1=C(C2=NCCC2)C2c3ccccc3NC(c3cccnc3)C2C1,0.8848572157836954,0.3716814159292036,911,0.188405912893688,3.882363945828736
Cc1ncccc1C1C2CC=CC2c2ccccc2N1CC(N)=O,0.8844724445906961,0.3103448275862069,1360,0.18802114170068876,3.648176069574556
C=C1CN(C2=CCC3C(c4cccnc4)Nc4ccccc4C23)CN1,0.8823687730199684,0.3771929824561404,578,0.18591747012996107,4.2085706836286665
Cc1ncccc1C1Nc2ccccc2C2C=C(N(C)C(N)=O)CC21,0.8820065832532112,0.2833333333333333,1392,0.1855552803632039,4.018868862305718
Cc1ncccc1C1Nc2ccccc2C2C=C(N=C3C=NN=N3)CC21,0.8784252948979971,0.2598425196850393,1362,0.1819739920079898,4.619418248684996
C=CC1C=CC2c3ccccc3N(CC(N)=O)C(c3cccnc3)C12,0.8753786728787291,0.3135593220338983,1084,0.17892736998872172,4.086367396026514
C=CC1C=CC2c3ccccc3N(CC(N)=O)C(c3cccnc3)C12,0.8753786728787291,0.3135593220338983,1084,0.17892736998872172,4.086367396026514
C1=C(N=C2CCCN2)C2c3ccccc3NC(c3cccnc3)C2C1,0.8742839418078846,0.3620689655172414,549,0.17783263891787726,4.27090414724613
Cc1ncccc1C1Nc2ccccc2C2C(ON3CC3)=CCC12,0.8734744531388604,0.2644628099173554,1393,0.17702315024885307,4.00576531945511
CC(=O)NC1=CC2c3ccccc3NC(c3cccnc3)C2(OC2CC2)C1,0.8720932769020949,0.2983870967741936,1186,0.1756419740120876,4.19420133444597
CC(=O)NC1=CCC2(OC3CC3)C(c3cccnc3)Nc3ccccc3C12,0.8720932769020948,0.2983870967741936,1153,0.17564197401208748,4.216234470540645
