SMILES,Reward,Sim,Step,Imp,SA
C=C1OCCN1Cc1c(-c2ccccc2)nn2c1N=C(O)CC2,0.9466404844819676,0.3097345132743363,1397,0.3087387279080638,3.405980875155235
CC(=O)N(C)Cc1c(-c2ccccc2)nn2c1N=C(O)CC2,0.9461577244575586,0.3619047619047619,1390,0.3082559678836549,3.0086779477574765
C=C1C=NN(Cc2c(-c3ccccc3)nn3c2N=C(O)CC3)O1,0.9456731627870448,0.32142857142857145,1397,0.30777140621314125,3.8682171552930082
Cc1c(-c2ccccc2)nn2c1N=C(O)CC2CC1OCCO1,0.944802789780566,0.4368932038834951,182,0.3069010332066623,3.710980846189404
Cc1c(-c2cccc(CC3=C4OCN=C34)c2)nn2c1N=C(O)CC2,0.9443185389174787,0.3130434782608696,194,0.3064167823435752,3.82038115563837
Cc1c(-c2ccc(CC3=NCCN3C)cc2)nn2c1N=C(O)CC2,0.9442780500998332,0.2711864406779661,169,0.30637629352592943,3.387676951147209
Cc1c(-c2ccccc2)nn2c1N=C(O)CC2C(=O)C1=CC1,0.9438078638003291,0.5888888888888889,1521,0.3059061072264253,3.628544790388994
CC1=CCN(Cc2c(-c3ccccc3)nn3c2N=C(O)CC3)C=N1,0.9431019959119872,0.3482142857142857,115,0.3052002393380835,3.6375802765174905
Cc1c(-c2cccc(CC3=NCCCO3)c2)nn2c1N=C(O)CC2,0.9420253268984596,0.2905982905982906,177,0.30412357032455584,3.4374222545394693
Cc1c(-c2ccccc2)nn2c1N=C(O)C(OC1CC1)C2,0.9415952156853225,0.36893203883495146,1399,0.30369345911141865,3.5402397682746054
CC1CC=CN1Cc1c(-c2ccccc2)nn2c1N=C(O)CC2,0.9413648754118384,0.34545454545454546,1382,0.30346311883793475,3.9027542101388866
CC(=O)Cc1ccccc1-c1nn2c(c1C)N=C(O)CC2,0.9411976233245426,0.3333333333333333,1348,0.3032958667506389,3.1520728251257806
CC(=O)Cc1cccc(-c2nn3c(c2C)N=C(O)CC3)c1,0.9411976233245426,0.3461538461538461,1375,0.3032958667506389,3.07424805328745
CC(=O)Cc1ccccc1-c1nn2c(c1C)N=C(O)CC2,0.9411976233245426,0.3333333333333333,188,0.3032958667506389,3.1520728251257806
CC(=O)Cc1cccc(-c2nn3c(c2C)N=C(O)CC3)c1,0.9411976233245426,0.3461538461538461,149,0.3032958667506389,3.07424805328745
