SMILES,Reward,Imp,MW,step,Sim,SA
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](=C[C@H]))))OC(=NC)1,0.9429139492119254,0.3185663631950453,,1937,0.029126213592233014,5.493383932798184
C1(O)C([C@@])(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.9322730749963568,0.3079254889794766,,-1992,0.028571428571428567,5.731916909787935
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C(N2CC(C)(C)C2)))OC(=NC)1,0.9244156330082389,0.3000680469913589,,1917,0.06796116504854369,4.775863686139424
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C(c2C[C@H]2NC)))OC(=NC)1,0.8949834292061506,0.2706358431892705,,1917,0.0380952380952381,5.251508824597943
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)(O[C@H]))))OC(=NC)1,0.8946070567571951,0.27025947074031503,,1940,0.027777777777777776,5.717062554379301
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2([C@@H](O)C))OC(=NC)1,0.8862510569634259,0.2619034709465459,,1908,0.020618556701030927,5.035357191333167
C1(O)(C)C(=O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8861940906843322,0.2618465046674521,,1936,0.017699115044247787,5.4525005286066435
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C(/C=C/C=C)))OC(=NC)1,0.8813793635385064,0.2570317775216263,,1942,0.029126213592233014,5.034522394336646
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H](N2C(=O)NC2)))OC(=NC)1,0.8736032793124049,0.2492556932955248,,1993,0.04672897196261682,5.350638476504373
C1(O)C([C@@](C)(C#N))(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8705060368336183,0.2461584508167381,,1992,0.02654867256637168,5.634530769418463
C1(O)C(C)(c2c(cc(/C)3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8677419386464551,0.24339435262957496,,1903,0.030303030303030307,5.5675041565707915
C1(O)C([C@@][C@@H](C))(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8610406104305256,0.2366930244136455,,1992,0.027027027027027032,5.7965345652152
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)(\[C@H])c2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8579619118668894,0.2336143258500093,,1956,0.02884615384615385,6.4526759933115825
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C(N)=O)C)))OC(=NC)1,0.8552305564214361,0.230882970404556,,1982,0.02803738317757009,5.327477884823504
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](N2CC[C@@H](C)C2)C)))OC(=NC)1,0.8501904024504272,0.2258428164335471,,1949,0.07142857142857142,5.320341337781353
C([C@@H](C#N)C)1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8500314929933234,0.22568390697644325,,1935,0.017241379310344827,5.7177193968530835
C(C(F)(F)F)1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8492714352090035,0.22492384919212335,,1947,0.017391304347826087,5.459280530815564
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](N[C@@H](C))C)))OC(=NC)1,0.8405244138876437,0.21617682787076356,,1949,0.027777777777777776,5.580481785148532
C1(O)C(C)(c2c(c(O[C@@H])n3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8390427811639839,0.2146951951471039,,1985,0.029411764705882356,6.062771812961602
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC([C@H]2CCCCN2C)1,0.8276413409947458,0.20329375497786573,,1925,0.10810810810810813,5.307911478324334
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C(O)CC)C)))OC(=NC)1,0.8242862799149189,0.1999386938980388,,1915,0.027272727272727268,5.422158857654629
C1(=C(C)[C@@H])C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8200359933122354,0.1956884072953553,,1919,0.018018018018018014,5.479333977728448
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=N([C@@H]2C[C@H]2CC))1,0.8169459965881374,0.19259841057125726,,1957,0.03448275862068965,5.766677763932766
C1([C@@H]2C(=O)[C@@H](C)CN2)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8123640528863691,0.18801646686948906,,1919,0.033057851239669415,5.785250157621968
C1(O)C(C)(c2c(c([C@@H]3CCC[C@H]3)n3)c(c3)cc2(C[C@@H]([C@H](C#N)C)))OC(=NC)1,0.8119090335671458,0.1875614475502657,,1953,0.06481481481481481,5.901371878772913
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H](CN2C(=O)C[C@H]2C)))OC(=NC)1,0.8102725428367807,0.18592495681990065,,1970,0.04464285714285714,5.280852739755818
C1(O)C(C)(c2c(cc([C@])cn3)c(c3)cc2(C[C@@H](NC(=O)/C)([C@H](C#N)C)))OC(=NC)1,0.8101438748738296,0.18579628885694946,,1921,0.026086956521739132,5.208876748362334
